Quote,Speaker,Year
"Thank you, Madam Chair. This is an important bill. I thank members of the Opposition, and others, for their constructive engagement on this. We had a special select committee on this, which, I think, as duly appropriate, it was well chaired by former Speaker the Rt Hon Adrian Rurawhe\'97and thank you for his contribution. This is an important piece of legislation and probably one that's a little bit overdue and one that past Governments and past parliaments have looked at. It brings together the Clerk of the House of Representatives Act 1988, the Parliamentary Service Act 2000, the Members of Parliament (Remuneration and Services) Act 2013, and the Parliamentary Privilege Act 2014. There are a couple of things going on there. One is that if you want to understand how Parliament operates and how it's funded and what its powers are and all of the legislation to do with Parliament, there isn't one place to find it; you've got to go and look at those four Acts. This, if it becomes law and the House approves it, will become the Parliament Act 2025 and it will be the one place. Now, people might say, ""Well, bringing together legislation, that doesn't really seem like much of a deal."", but, actually, it's important to the rule of law and cogency of the statute book that we don't have random pieces of legislation that do different things but all actually relate to the same topic\'97or, in this case, relate to the same institutions: the very important home of our democracy. The second thing is that some of these statutes are quite out of date. The last time we went through a serious round of kind of parliamentary reform was actually in Sir Geoffrey Palmer's day, that great reform period of 1987 through 1990\'97a bit controversial, in some respects, for some, but, from a parliamentary point of view, quite a lot was done by Sir Geoffrey back then, as Attorney-General and Minister of Justice and Leader of the House, to create, essentially, the modern-day foundations of the Parliament: the select committee system, for example. But the Clerk of the House of Representatives got its own Act back in 1988 during that period. The Parliamentary Services Act 2000 is now 25 years old, as well. So it is about modernising this legislation. In relation to the Parliamentary Privilege Act, Parliament went through an exercise soon after I became an MP\'97or it might have been contemporaneously when I became the MP\'97about responding to the judgment of Attorney-General v Leigh, from memory, and there was another case as well in which it became, without boring the committee, really clear that Parliament had to reassert the traditional privileges that exist for all members of this House around freedom of speech and put into statute some common law rights that have, perhaps, at least arguably, contestably at law didn't exist or we needed to make clear that they did exist. So the Parliamentary Privilege Act was a response to court judgments and now it's going to be a part of the Parliament Act. There are some important changes that the Parliament Bill, this bill, makes in relation to parliamentary security, which, no doubt, we'll get to. It also, importantly, changes the funding model, and, in particular, it gives Parliament more independence from the executive in relation to the funding of Parliament. In our Westminster system, with our fused executive and legislature, by definition, the Government governs and controls the Budget, but, actually, Parliament is its own separate institution. There's always been a natural tension there\'97which, actually, to be honest, you can't get rid of entirely\'97between the operation of the funding of Parliament, the legislature, its own institution, and the executive, which, by definition, is only the executive because it has control of the Parliament; if that wasn't the case, they wouldn't be the executive. So what this bill does is put in place a more independent process in which the House is in charge of its own budgets, there is some involvement of the executive but it's a step forward from the status quo where I think most people would say it's more biased towards the Government. That hasn't really been a problem, to be honest\'97I hope both sides of the House would agree",Hon CHRIS BISHOP,2025
"On behalf of the Minister of Internal Affairs, I don't believe that that statement is correct. The Government in the last two years has seen FENZ introduce an asset management plan, which had not been put in place, for some reason, between 2017 and 2023 after FENZ was formed from the voluntary and professional wings of New Zealand's firefighting. The replacement schedule for fire appliances I traversed in detail yesterday, but the Government currently has, I believe, 78 appliances on order. They tend to take 18 to 24 months to deliver because they're highly specialised equipment; five of those are aerial. In total, FENZ is spending around $20 million to $25 million each year on upgrading fire appliances.",Hon DAVID SEYMOUR,2025
"\'97that have been offered to schools and teachers across the country. It has been going really well. We have been completely packed out. In fact, in Auckland we are oversubscribed because teachers and principals and leaders of curriculum can see the value in turning up to these road shows. But what I would say to the unions is the fact that they told principals and teachers to boycott the very thing",Hon ERICA STANFORD,2025
"Are firefighters correct when they say they have to work with equipment that consistently breaks down, with no fleet replacement strategy, and are right now across the country putting their safety at risk protecting our communities from severe weather?",Teanau Tuiono,2025
"I certainly do stand by that statement, and I understand that, within 10 minutes of me answering a question on behalf of another Minister yesterday, the Professional Firefighters Union got back in touch, wanting\'97",Hon DAVID SEYMOUR,2025
"Why is he not willing to negotiate with teachers, firefighters, and nurses about fair pay but is willing to negotiate a rates rebate on his $10.5 million mansion?",Hon Carmel Sepuloni,2025
"A couple of things about that: first of all, the Prime Minister is absolutely willing to negotiate with the unions. In fact, the Government has been saying, through the Public Service Commission, that we are prepared to meet and work through the weekend to get a deal to avoid these strikes. The Government is here making the offers, trying to get the Public Service back to work in order for people to be served and we can make a balanced Budget on behalf of New Zealanders for all of our economic future. Now, on the comment about the Prime Minister's personal capacity and his personal residence, there's no responsibility for that except to say that there is a tone that if someone's worked hard all their life and done well, they should be dragged down and they should be embarrassed about their success and having a nice place on Waiheke. Well, actually, on this side of the House we say that success is a good thing and tall poppy is bad.",Hon DAVID SEYMOUR,2025
"If you shut up, you might listen.",Hon Chris Bishop,2025
Why are you talking while I am? I will ask the Minister to speak more clearly into the microphone but not repeat the answer.,SPEAKER,2025
"That's why we have been holding curriculum road shows up and down the country this week, with the intent of unpacking the new curriculum, talking about all of the supports\'97",Hon ERICA STANFORD,2025
"Is it correct that the state of the fire appliances is dire and failing, leaving firefighters stranded on the way to calls, at station, or even at incidents without water while internal firefighting?",Teanau Tuiono,2025
"The House has chosen to set aside an hour of its time to debate energy issues, something that says it's a serious issue for this country, something we really need to work on, hopefully, in many ways, in a bipartisan way, because there is much that we can agree on in the energy space. What I want to do, however, is to take this debate first back to defining what some of the issues are in the energy space. When I say to think about it, I thought, well, here are the three broad areas of concern around energy in New Zealand. The first is around supply\'97sufficiency and certainty of supply\'97the second is around pricing, and the third is around climate. So let me just talk through each of those issues and why they are a particular concern for us. I'll start with supply and certainty of supply. Of course, what has been affecting the country today does point to that in some regards. So we know that right at the moment around about 90,000 households are without power. I don't know how many businesses are without power, but, given that many households are out, so many businesses will be too. I heard there's some quite big outages in Southland. There must be some farmers there who are a bit worried about milking and how that's going to happen. Of course, the outages today have been caused by the massive storm through the country. I'm sure that the thoughts of everyone in this House are with the people who are affected directly by the storm and with the workers who are out there trying to get the power back on\'97I know they'll be working hard out there. But that certainty of supply can",Hon Dr DEBORAH RUSSELL,2025
